?place	?placeLabel
<http://www.wikidata.org/entity/Q272132>	"Ærøskøbing Kommune"@da
<http://www.wikidata.org/entity/Q272133>	"Ærøskøbing Sogn"@da
<http://www.wikidata.org/entity/Q277371>	"Danske Vadehavsøer"@da
<http://www.wikidata.org/entity/Q277468>	"Store Magleby Sogn"@da
<http://www.wikidata.org/entity/Q281180>	"Hjørring Stadion"@da
<http://www.wikidata.org/entity/Q282496>	"Tårnby Kommune"@da
<http://www.wikidata.org/entity/Q282798>	"Fole Sogn"@da
<http://www.wikidata.org/entity/Q283305>	"Roskilde Amt"@da
<http://www.wikidata.org/entity/Q283658>	"Ringsted"@da
<http://www.wikidata.org/entity/Q284036>	"Trinitatis Sogn"@da
<http://www.wikidata.org/entity/Q284914>	"Holmens Kirke"@da
<http://www.wikidata.org/entity/Q288371>	"Vantore Sogn"@da
<http://www.wikidata.org/entity/Q288858>	"Store Restrup Herregård"@da
<http://www.wikidata.org/entity/Q290875>	"Kimmerslev Sogn"@da
<http://www.wikidata.org/entity/Q296962>	"ARoS Aarhus Kunstmuseum"@da
<http://www.wikidata.org/entity/Q297853>	"Øresundsregionen"@da
<http://www.wikidata.org/entity/Q297871>	"Øresundsbroen, Øresundsforbindelsen"@da
<http://www.wikidata.org/entity/Q300651>	"Aalborg Pirates"@da
<http://www.wikidata.org/entity/Q300678>	"Aabenraa Fjord"@da
<http://www.wikidata.org/entity/Q300679>	"Q300679"
<http://www.wikidata.org/entity/Q300682>	"Aabenraa Kommune (1970-2006)"@da
<http://www.wikidata.org/entity/Q300683>	"Aabenraa Sogn"@da
<http://www.wikidata.org/entity/Q300688>	"Aabybro Kommune"@da
<http://www.wikidata.org/entity/Q300820>	"Aaker Sogn"@da
<http://www.wikidata.org/entity/Q300821>	"Aa Kirke"@da
<http://www.wikidata.org/entity/Q300827>	"Aal Sogn"@da
<http://www.wikidata.org/entity/Q300856>	"Aalborg Kommune"@da
<http://www.wikidata.org/entity/Q300858>	"Aalborg Forsvars- og Garnisonsmuseum"@da
<http://www.wikidata.org/entity/Q300858>	"Aalborg Forsvars- og Garnisonsmuseum"@da
<http://www.wikidata.org/entity/Q300860>	"Aalborg Værft"@da
